Field,Min,Max,Mean,Median,Std
user_group_vector[0],0.0,1.0,0.57,1.0,0.49
user_group_vector[1],0.0,1.0,0.43,0.0,0.49
session_click_count,0.0,7.0,1.86,1.0,1.7
session_total_view_time,0.0,561.0,145.28,115.0,133.5
predicted_price,7200.0,64000.0,20994.36,18800.0,11252.69
lead_time,1.0,5.0,3.06,3.0,1.41
predicted_quality,0.7,0.99,0.86,0.86,0.07
promotion,0.0,1.0,0.85,1.0,0.35
action_t,0.0,1.0,0.6,1.0,0.49
clicked,0.0,1.0,0.6,1.0,0.49
page_view_time_sec,1.0,120.0,46.5,37.0,38.75
purchased,0.0,1.0,0.12,0.0,0.33
